Key,RA,DEC,K,Kerr,J-K,J-Kerr,#obs,class,pmRA,pmDEC,parallax,errpmRA,errpmDec,errparallax
0,19:44:56,-14:44:17.9,15.341,0.011,1.163,0.019,2,-2,-0.549,-0.704,-0.33,0.834,0.742,0.4613
0,19:44:54,-14:44:24.7,13.743,0.004,0.98,0.006,2,-2,0.046,0.224,-0.17,0.201,0.178,0.1138
0,19:44:56,-14:51:09.8,15.207,0.01,1.003,0.016,2,-2,0.454,0.016,-0.132,0.444,0.407,0.2575
0,19:44:56,-14:43:21.0,14.37,0.004,1.022,0.006,4,-2,-0.104,-0.12,-0.176,0.251,0.211,0.1444
0,19:44:56,-14:49:03.6,14.935,0.008,1.127,0.014,2,-2,-0.964,-0.818,0.448,0.736,0.643,0.4135
0,19:44:55,-14:43:48.1,12.796,0.002,1.104,0.004,2,-2,-0.516,-0.311,-0.075,0.176,0.148,0.1001
0,19:44:57,-14:47:04.9,15.665,0.014,0.882,0.021,2,0,1.467,0.24,-1.471,1.276,1.08,0.7354
0,19:44:57,-14:52:32.1,15.169,0.01,0.915,0.015,2,-2,0.04,-0.146,-0.099,0.368,0.324,0.2148
0,19:44:56,-14:45:30.2,13.671,0.004,1.16,0.006,2,-2,-0.437,-0.329,0.063,0.31,0.295,0.1828
0,19:44:56,-14:51:28.3,15.663,0.014,0.952,0.021,2,-2,-0.338,0.728,-0.15,0.677,0.597,0.4011
0,19:44:57,-14:53:28.9,15.473,0.012,1.052,0.019,2,-2,1.396,0.256,-0.106,0.596,0.581,0.3223
0,19:44:57,-14:54:08.4,13.998,0.005,1.028,0.008,2,-2,-0.502,-0.213,-0.045,0.224,0.205,0.1271
0,19:44:57,-14:44:25.5,13.811,0.004,1.052,0.006,2,-2,0.111,0.068,-0.038,0.336,0.297,0.1618
0,19:44:57,-14:48:58.8,14.842,0.008,0.997,0.012,2,-2,-0.139,-0.151,-0.085,0.341,0.301,0.1972
0,19:44:58,-14:48:28.3,13.904,0.004,0.975,0.006,2,-2,0.002,-0.076,0.003,0.249,0.216,0.1452
0,19:44:58,-14:46:38.5,15.254,0.01,1.171,0.017,2,-2,0.706,-0.086,-0.092,1.09,0.951,0.6077
0,19:44:57,-14:49:20.5,12.514,0.002,1.038,0.004,2,-2,-0.133,0.033,-0.099,0.135,0.114,0.0782
0,19:44:58,-14:49:17.3,14.349,0.006,1.024,0.009,2,-2,0.235,0.123,-0.035,0.324,0.276,0.1936
0,19:44:58,-14:44:09.4,14.118,0.005,0.996,0.008,2,-2,0.12,0.037,0.168,0.248,0.205,0.1347
0,19:44:58,-14:45:51.0,13.247,0.003,1.064,0.005,2,-2,-0.265,-0.197,0.071,0.216,0.186,0.1238
0,19:44:58,-14:44:56.4,13.657,0.004,1.042,0.006,2,-2,-0.408,-0.534,0.225,0.216,0.185,0.1227
0,19:44:58,-14:44:47.2,13.184,0.003,1.035,0.005,2,-2,-0.114,-0.085,0.033,0.161,0.132,0.0934
0,19:44:59,-14:50:37.1,15.341,0.011,0.959,0.017,2,-2,-0.453,0.248,0.126,0.465,0.403,0.274
0,19:44:59,-14:51:00.9,15.039,0.009,1.027,0.014,2,-2,-0.55,-0.517,0.172,0.422,0.366,0.2587
0,19:44:59,-14:50:29.2,15.431,0.012,0.83,0.017,2,-2,-0.288,-0.176,0.185,0.381,0.349,0.2219
0,19:44:59,-14:46:14.8,15.356,0.011,1.132,0.018,2,0,1.162,1.15,-0.415,1.432,1.245,0.8184
0,19:44:59,-14:50:15.5,15.534,0.012,0.893,0.018,2,-2,-0.91,-0.466,-0.104,0.502,0.417,0.2886
0,19:44:59,-14:52:38.4,14.911,0.008,1.141,0.014,2,-2,-0.859,0.648,0.745,0.552,0.512,0.3097
0,19:45:00,-14:52:30.6,14.685,0.007,0.976,0.011,2,-2,0.302,0.29,-0.03,0.334,0.308,0.1897
0,19:45:00,-14:53:00.0,15.514,0.012,0.9,0.018,2,-2,0.032,0.058,-0.168,0.507,0.518,0.265
0,19:45:00,-14:46:36.9,15.215,0.01,1,0.016,2,-2,0.294,0.191,0.068,0.471,0.409,0.2789
0,19:45:00,-14:49:15.4,14.784,0.007,1.039,0.011,2,0,-0.541,-0.54,0.019,0.36,0.314,0.2156
0,19:45:00,-14:53:33.8,15.584,0.013,0.962,0.02,2,-2,0.926,0.984,-0.351,0.582,0.537,0.3193
0,19:45:00,-14:47:59.1,14.562,0.006,1.065,0.01,2,-2,-0.737,0.358,0.439,0.354,0.314,0.2024
0,19:45:01,-14:52:34.8,15.343,0.011,0.993,0.017,2,-2,-0.16,-0.258,-0.092,0.514,0.466,0.3044
0,19:45:01,-14:48:26.8,13.599,0.004,1.131,0.006,2,-2,-0.046,-0.281,-0.096,0.213,0.184,0.1264
0,19:45:00,-14:48:23.0,14.756,0.007,0.83,0.011,2,-2,0.597,0.264,-0.135,0.438,0.366,0.2609
0,19:45:01,-14:54:38.1,14.938,0.008,0.934,0.013,2,-2,-0.042,-0.304,0.262,0.331,0.303,0.1974
0,19:45:02,-14:55:16.5,15.338,0.011,1.027,0.017,2,-2,0.128,0.217,0.291,0.573,0.52,0.3401
0,19:45:02,-14:53:21.5,15.457,0.012,1.005,0.018,2,-2,-0.095,-0.272,0.344,0.558,0.514,0.3251
0,19:45:04,-14:43:37.8,14.932,0.009,0.978,0.013,2,-2,-0.367,0.71,-0.153,0.422,0.356,0.2379
0,19:45:04,-14:42:47.8,15.365,0.008,1.178,0.013,4,-2,0.315,-1.91,-0.367,0.617,0.544,0.3465
0,19:45:04,-14:54:44.7,14.527,0.006,1.121,0.01,2,-2,0.504,-0.302,-0.218,0.388,0.352,0.2304
0,19:45:04,-14:55:02.3,14.594,0.007,0.983,0.011,2,-2,0.3,0.441,-0.27,0.292,0.264,0.1797
0,19:45:04,-14:55:33.9,15.139,0.009,0.941,0.014,2,-2,-0.662,-0.209,0.563,0.437,0.395,0.263
0,19:45:04,-14:54:06.6,15.039,0.009,1.024,0.014,2,-2,-0.904,-1.114,0.015,0.455,0.415,0.2683
0,19:45:05,-14:55:37.6,15.249,0.01,0.935,0.016,2,-2,-0.216,-0.026,0.225,0.435,0.404,0.2516
0,19:45:06,-14:53:54.2,15.611,0.013,1.002,0.021,2,-2,0.129,0.749,-0.067,0.584,0.542,0.3408
0,19:45:06,-14:55:33.2,15.482,0.012,0.868,0.018,2,-2,0.249,0.464,0.602,0.477,0.433,0.2845
0,19:45:06,-14:54:58.1,14.087,0.005,1.03,0.008,2,-2,-0.186,-0.005,0.224,0.252,0.225,0.1531
0,19:45:06,-14:55:17.7,14.925,0.008,0.939,0.013,2,-2,0.457,0.262,-0.225,0.356,0.321,0.2183
0,19:45:06,-14:55:37.4,15.035,0.009,1.037,0.014,2,-2,-0.223,-0.054,-0.289,0.421,0.389,0.2467
0,19:45:06,-14:52:31.8,14.959,0.008,0.964,0.013,2,-2,0.651,0.578,0.16,0.364,0.333,0.2128
0,19:45:06,-14:51:36.0,14.493,0.006,1.086,0.01,2,-2,-0.285,0.234,-0.141,0.401,0.344,0.2191
0,19:45:07,-14:50:31.6,14.772,0.007,1.005,0.011,2,-2,-0.002,0.04,0.116,0.352,0.324,0.2004
0,19:45:07,-14:51:07.5,15.482,0.012,1.031,0.019,2,-2,0.133,-0.112,-0.123,0.558,0.499,0.3432
0,19:45:08,-14:55:17.0,13.408,0.003,1.084,0.005,2,-2,-0.224,-0.348,-0.136,0.179,0.166,0.1066
0,19:45:08,-14:55:21.0,15.329,0.011,0.983,0.017,2,-2,-0.5,-0.746,-0.44,0.445,0.416,0.2616
0,19:45:10,-14:53:45.0,14.823,0.008,0.956,0.012,2,-2,0.505,0.271,-0.059,0.347,0.316,0.2034
0,19:45:10,-14:51:17.1,15.155,0.009,0.899,0.014,2,-2,0.677,0.548,-0.005,0.401,0.356,0.2381
0,19:45:11,-14:54:26.2,15.379,0.011,0.956,0.017,2,-2,-0.317,-0.118,0.061,0.429,0.394,0.2557
0,19:45:11,-14:53:51.6,15.247,0.01,0.963,0.016,2,-2,-0.252,0.022,0.054,0.442,0.405,0.2618
0,19:45:12,-14:52:30.6,15.544,0.012,1.022,0.019,2,-2,0.515,0.576,0.27,0.719,0.619,0.4182
0,19:45:12,-14:53:17.5,15.33,0.011,0.882,0.016,2,-2,-0.119,-0.286,-0.113,0.416,0.363,0.2609
0,19:45:12,-14:55:56.7,15.49,0.012,0.934,0.018,2,-2,0.978,0.827,-0.439,0.486,0.445,0.2941
0,19:45:13,-14:50:02.3,15.233,0.01,1.178,0.017,2,-2,-0.766,-1.153,-0.685,0.942,0.858,0.5578
0,19:45:15,-14:48:04.1,15.396,0.008,0.875,0.014,3,-2,-0.284,0.034,-0.09,0.479,0.444,0.2627
0,19:45:17,-14:46:48.8,15.01,0.006,0.964,0.009,4,-2,-0.385,-0.523,-0.16,0.362,0.326,0.2125
0,19:45:18,-14:46:21.8,15.315,0.007,1.123,0.012,4,-2,-0.828,-1.117,0.6,0.735,0.671,0.408
0,19:43:07,-14:47:49.5,15.812,0.016,0.819,0.023,2,-2,0.499,-0.865,0.793,0.467,0.389,0.2675
0,19:42:44,-14:44:18.8,15.203,0.011,0.969,0.016,2,-2,-2.26,-0.986,1.683,1.738,1.383,0.9538
0,19:46:02,-15:30:01.1,15.808,0.014,0.863,0.021,2,-2,1.033,-1.327,0.462,0.643,0.514,0.3318
0,19:45:47,-15:27:57.0,15.352,0.01,0.859,0.015,2,-2,-0.32,-0.682,0.191,0.407,0.29,0.2225
0,19:45:46,-15:36:06.6,15.267,0.01,0.944,0.015,2,-2,1.454,1.769,0.621,1.496,0.935,0.7725
0,19:45:35,-15:23:18.7,15.687,0.01,0.879,0.017,3,-2,0.148,-0.274,0.696,0.681,0.486,0.3485
0,19:47:46,-15:25:11.0,15.535,0.012,0.965,0.018,2,-2,-4.651,1.065,0.897,2.133,1.771,1.1687
0,19:47:42,-15:26:05.7,15.389,0.011,1.047,0.017,2,-2,-0.641,-1.902,0.848,0.64,0.543,0.3424
0,19:47:11,-15:32:01.1,15.447,0.011,1.023,0.018,2,-2,0.238,-0.486,0.95,0.589,0.482,0.339
0,19:47:54,-15:33:54.3,15.112,0.009,0.929,0.013,2,-2,-0.467,0.293,0.747,0.553,0.469,0.2629
0,19:47:07,-15:02:10.9,15.57,0.008,1.028,0.013,4,-2,-2.036,1.129,0.739,0.795,0.684,0.4562
0,19:47:44,-15:00:26.1,15.323,0.01,0.911,0.015,2,-2,0.02,0.816,0.665,0.481,0.378,0.2675
0,19:48:02,-15:05:02.6,15.793,0.01,0.875,0.014,4,-2,-3.398,0.45,-0.172,1.049,0.842,0.6089
0,19:45:45,-15:07:07.4,15.608,0.013,0.995,0.02,2,-2,1.073,-2.999,1.775,1.026,0.91,0.5703
0,19:46:04,-15:06:16.3,15.381,0.011,0.803,0.016,2,-2,-0.071,-0.085,0.321,0.304,0.26,0.1915
0,19:45:34,-14:59:05.5,14.892,0.008,0.993,0.013,2,-2,-0.336,-0.161,-0.029,0.349,0.341,0.1899
0,19:45:21,-14:59:05.0,14.675,0.007,0.943,0.011,2,-2,-0.479,-0.101,0.077,0.247,0.22,0.1537
0,19:45:24,-14:56:10.2,14.495,0.006,1.15,0.008,3,-2,0.536,0.212,-0.218,0.399,0.328,0.2621
0,19:46:36,-15:24:18.7,15.554,0.011,0.968,0.017,2,-2,-0.591,0.177,0.649,0.527,0.433,0.3289
0,19:46:23,-15:30:02.2,15.867,0.014,0.816,0.021,2,-2,-1.785,0.165,0.487,0.502,0.372,0.2893
0,19:46:20,-15:33:03.5,15.541,0.011,0.964,0.017,2,-2,2.322,-1.447,1.261,0.987,0.678,0.5432
0,19:48:43,-15:22:23.2,15.752,0.013,0.898,0.017,3,-2,-2.068,-1.39,0.817,0.619,0.593,0.3751
0,19:48:35,-15:26:05.7,15.583,0.012,1.01,0.018,2,-2,4.389,0.907,2.178,1.944,2.064,0.8407
0,19:48:15,-15:26:12.9,15.53,0.011,1.032,0.018,2,-2,0.062,-2.055,1.257,0.899,0.822,0.5184
0,19:48:27,-15:27:53.4,15.546,0.011,0.841,0.016,2,-2,0.629,-1.38,0.403,0.426,0.37,0.2747
0,19:48:19,-15:32:38.1,15.645,0.012,0.95,0.018,2,-2,0.144,-1.345,0.344,0.513,0.448,0.2918
0,19:48:48,-15:34:33.7,14.962,0.008,1.03,0.013,2,-2,-0.541,1.782,-1.356,1.263,1.144,0.6989
0,19:48:36,-15:05:06.3,15.765,0.013,0.822,0.018,2,-2,0.466,-0.027,1.025,0.596,0.444,0.3424
